symbol,date,open,high,low,close,volume,ADX_14,PLUS_DI_14,MINUS_DI_14,CCI_14,MOM_10,ROC_10,RSI_14,WILLR_14,OBV,ATR_14
T主连,2015-03-20,96.9,97.96,96.525,97.09,3332,,,,,,,,,3332.0,
T主连,2015-03-23,97.095,97.095,96.84,97.02,1386,,,,,,,,,1946.0,
T主连,2015-03-24,97.135,97.22,96.875,96.92,1380,,,,,,,,,566.0,
T主连,2015-03-25,97.02,97.03,96.76,96.85,1234,,,,,,,,,-668.0,
T主连,2015-03-26,96.835,96.89,96.37,96.37,1073,,,,,,,,,-1741.0,
T主连,2015-03-27,96.3,96.51,95.98,96.49,1792,,,,,,,,,51.0,
T主连,2015-03-30,96.065,96.4,96.0,96.16,1153,,,,,,,,,-1102.0,
T主连,2015-03-31,95.8,95.9,95.565,95.65,2327,,,,,,,,,-3429.0,
T主连,2015-04-01,95.66,96.095,95.655,96.095,673,,,,,,,,,-2756.0,
T主连,2015-04-02,96.3,96.425,96.2,96.32,1011,,,,,,,,,-1745.0,
T主连,2015-04-03,96.315,96.375,96.005,96.01,1099,,,,,-1.0799999999999983,-1.1123699660109176,,,-2844.0,
T主连,2015-04-07,96.005,96.31,95.8,95.93,831,,,,,-1.0899999999999892,-1.1234796949082582,,,-3675.0,
T主连,2015-04-08,96.0,96.1,95.13,95.16,2904,,,,,-1.7600000000000051,-1.8159306644655482,,,-6579.0,
T主连,2015-04-09,95.3,95.4,95.195,95.265,1389,,,,-142.95462299556348,-1.5849999999999937,-1.636551368094985,,-95.22968197879841,-5190.0,
T主连,2015-04-10,95.35,95.415,95.17,95.19,1073,,10.596940055179202,39.5660897918234,-128.7415846711549,-1.1800000000000068,-1.2244474421500562,24.254742547425177,-97.12918660287072,-6263.0,0.43678571428571394
T主连,2015-04-13,95.18,95.68,95.18,95.63,1895,,14.259399622781089,36.1486665138989,-81.57683024939665,-0.8599999999999994,-0.8912840708881764,32.87456124145552,-76.07655502392349,-4368.0,0.44130102040816294
T主连,2015-04-14,95.7,96.0,95.53,95.57,1718,,18.5872713647476,33.24212237854228,-41.55635780184835,-0.5900000000000034,-0.6135607321131498,32.33419526172313,-76.84210526315807,-6086.0,0.4433509475218655
T主连,2015-04-15,95.9,96.285,95.775,96.15,2148,,21.06333368448675,29.372894931971217,34.89910901467318,0.5,0.5227391531625658,42.22106850942451,-42.045454545454135,-3938.0,0.46275445127030396
T主连,2015-04-16,96.735,96.735,95.86,96.18,1436,,25.10182699595814,25.466380491970664,79.08172065266045,0.08500000000000796,0.08845413392997159,42.68753105445069,-34.5794392523359,-2502.0,0.4922005618938537
T主连,2015-04-17,96.19,96.5,96.05,96.3,1613,,23.379679370310363,23.71922213950684,85.4703529820888,-0.01999999999999602,-0.020764119601324182,44.61369967005428,-27.10280373831783,-889.0,0.48918623604429295
T主连,2015-04-20,97.1,97.275,96.67,97.25,3213,,31.12205350408061,20.446164320435425,199.5641530837653,1.2399999999999949,1.2915321320695616,56.949126795969505,-1.1655011655014251,2324.0,0.523887219183987
T主连,2015-04-21,97.295,97.95,97.26,97.39,4962,,37.418001755162045,18.47502887200424,212.12432571281911,1.4599999999999937,1.5219430834983783,58.418856193620314,-19.858156028368825,7286.0,0.5364667035279881
T主连,2015-04-22,97.4,97.615,97.31,97.42,2962,,35.79859093418094,17.6754495179535,153.13432835820834,2.260000000000005,2.3749474569146667,58.74388484760892,-18.794326241134744,10248.0,0.5199333675617027
T主连,2015-04-23,97.365,97.455,96.945,97.34,2288,,33.210348799474716,21.57193231963544,106.58945901024113,2.075000000000003,2.178134676953758,57.45415115321462,-21.63120567375879,7960.0,0.5192238413072957
