symbol,date,open,high,low,close,volume,mmt_normal_1M,mmt_normal_A,mmt_avg_1M,close_1m_ago,avg_close_1y,mmt_avg_1Y,intraday_return,mmt_intraday_1M,overnight_return,mmt_overnight_1M,overnight_sum_1y,overnight_sum_1m,mmt_overnight_1Y,daily_return,limit_flag,valid_return,mmt_off_limit_1M,off_limit_sum_1y,off_limit_sum_1m,mmt_off_limit_1Y,range,range_gt_20,range_le_20,range_gt_20_sum,range_le_20_sum,mmt_range_1M,mmt_range_1Y,cumulative_return_1m,sum_abs_return_1m,mmt_route_1M,cumulative_return_1y,sum_abs_return_1y,mmt_route_1Y,up_flag,down_flag,up_ratio_1m,down_ratio_1m,mmt_discrete_1M,up_ratio_1y,down_ratio_1y,mmt_discrete_1Y,mmt_self_rank_1M,ret_1y,ret_rank_1y,mmt_time_rank_1M,year,is_first_day,mmt_year_open_return,mmt_highest_days_1Y
T主连,2015-03-20,96.9,97.96,96.525,97.09,3332,,,,,,,0.0019607843137254832,,,,,,,,False,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2015,True,,
T主连,2015-03-23,97.095,97.095,96.84,97.02,1386,,,,,,,-0.0007724393635100135,,5.149860953745922e-05,,,,,-0.0007209805335256503,False,-0.0007209805335256503,-0.0007209805335256503,-0.0007209805335256503,-0.0007209805335256503,0.0,0.00262642908641462,0.0,-0.0007209805335256503,0.0,-0.0007209805335256503,0.0007209805335256503,0.0007209805335256503,,0.0007209805335256503,,,0.0007209805335256503,,0,1,0.0,0.5,-0.5,0.0,0.5,-0.5,,,,,2015,False,,
T主连,2015-03-24,97.135,97.22,96.875,96.92,1380,,,,,,,-0.002213414320275886,,0.0011853226138940354,,,,,-0.001030715316429509,False,-0.001030715316429509,-0.0017516958499551594,-0.0017516958499551594,-0.0017516958499551594,0.0,0.0035559678416821157,0.0,-0.001030715316429509,0.0,-0.0017516958499551594,0.0017516958499551594,0.0017516958499551594,,0.0017516958499551594,,,0.0017516958499551594,,0,1,0.0,0.6666666666666666,-0.6666666666666666,0.0,0.6666666666666666,-0.6666666666666666,,,,,2015,False,,
T主连,2015-03-25,97.02,97.03,96.76,96.85,1234,,,,,,,-0.0017522160379302987,,0.0010317787866280792,,,,,-0.0007222451506397887,False,-0.0007222451506397887,-0.002473941000594948,-0.002473941000594948,-0.002473941000594948,0.0,0.0027858027238959557,0.0,-0.0007222451506397887,0.0,-0.002473941000594948,0.002473941000594948,0.002473941000594948,,0.002473941000594948,,,0.002473941000594948,,0,1,0.0,0.75,-0.75,0.0,0.75,-0.75,,,,,2015,False,,
T主连,2015-03-26,96.835,96.89,96.37,96.37,1073,,,,,,,-0.0048019827541693205,,-0.00015487867836860847,,,,,-0.004956117707795471,False,-0.004956117707795471,-0.007430058708390419,-0.007430058708390419,-0.007430058708390419,0.0,0.0053691275167784824,0.0,-0.004956117707795471,0.0,-0.007430058708390419,0.007430058708390419,0.007430058708390419,,0.007430058708390419,,,0.007430058708390419,,0,1,0.0,0.8,-0.8,0.0,0.8,-0.8,,,,,2015,False,,
T主连,2015-03-27,96.3,96.51,95.98,96.49,1792,,,,,,,0.0019730010384215735,,-0.0007263671266992677,,,,,0.001245200788626999,False,0.001245200788626999,-0.00618485791976342,-0.00618485791976342,-0.00618485791976342,0.0,0.005499636816436662,0.0,0.001245200788626999,0.0,-0.00618485791976342,0.00618485791976342,0.00618485791976342,,0.008675259497017418,,,0.008675259497017418,,1,0,0.16666666666666666,0.6666666666666666,-0.5,0.16666666666666666,0.6666666666666666,-0.5,,,,,2015,False,,
T主连,2015-03-30,96.065,96.4,96.0,96.16,1153,,,,,,,0.0009889137563108275,,-0.0044046015131101734,,,,,-0.003420043527826655,False,-0.003420043527826655,-0.009604901447590075,-0.009604901447590075,-0.009604901447590075,0.0,0.004145507306456687,0.0,-0.003420043527826655,0.0,-0.009604901447590075,0.009604901447590075,0.009604901447590075,,0.012095303024844073,,,0.012095303024844073,,0,1,0.14285714285714285,0.7142857142857143,-0.5714285714285714,0.14285714285714285,0.7142857142857143,-0.5714285714285714,,,,,2015,False,,
T主连,2015-03-31,95.8,95.9,95.565,95.65,2327,,,,,,,-0.0015657620041752418,,-0.0037437603993344393,,,,,-0.0053036605657237335,False,-0.0053036605657237335,-0.014908562013313809,-0.014908562013313809,-0.014908562013313809,0.0,0.0034837770382696335,0.0,-0.0053036605657237335,0.0,-0.014908562013313809,0.014908562013313809,0.014908562013313809,,0.017398963590567806,,,0.017398963590567806,,0,1,0.125,0.75,-0.625,0.125,0.75,-0.625,,,,,2015,False,,
T主连,2015-04-01,95.66,96.095,95.655,96.095,673,,,,,,,0.004547355216391491,,0.0001045478306325176,,,,,0.004652378463146922,False,0.004652378463146922,-0.010256183550166886,-0.010256183550166886,-0.010256183550166886,0.0,0.004600104547830609,0.0,0.004652378463146922,0.0,-0.010256183550166886,0.010256183550166886,0.010256183550166886,,0.02205134205371473,,,0.02205134205371473,,1,0,0.2222222222222222,0.6666666666666666,-0.4444444444444444,0.2222222222222222,0.6666666666666666,-0.4444444444444444,,,,,2015,False,,
T主连,2015-04-02,96.3,96.425,96.2,96.32,1011,,,,,,,0.00020768431983375635,,0.0021333055830168313,,,,,0.002341432956969536,False,0.002341432956969536,-0.00791475059319735,-0.00791475059319735,-0.00791475059319735,0.0,0.0023414329569696065,0.0,0.002341432956969536,0.0,-0.00791475059319735,0.00791475059319735,0.00791475059319735,,0.024392775010684264,,,0.024392775010684264,,1,0,0.3,0.6,-0.3,0.3,0.6,-0.3,,,,,2015,False,,
