symbol,date,open,high,low,close,volume,daily_return,vol_up_std_1M,vol_up_std_3M,vol_up_std_6M,vol_downshadow_avg_1M,vol_downshadow_avg_3M,vol_downshadow_avg_6M,vol_downshadow_std_1M,vol_downshadow_std_3M,vol_downshadow_std_6M,vol_highlow_avg_1M,vol_highlow_avg_3M,vol_highlow_avg_6M,vol_highlow_std_1M,vol_highlow_std_3M,vol_highlow_std_6M,vol_std_1M,vol_std_3M,vol_std_6M,vol_down_std_1M,vol_upshadow_avg_1M,vol_upshadow_avg_3M,vol_upshadow_avg_6M,vol_upshadow_std_1M,vol_upshadow_std_3M,vol_upshadow_std_6M,vol_w_downshadow_avg_1M,vol_w_downshadow_avg_3M,vol_w_downshadow_avg_6M,vol_w_downshadow_std_1M,vol_w_downshadow_std_3M,vol_w_downshadow_std_6M,vol_w_upshadow_avg_1M,vol_w_upshadow_avg_3M,vol_w_upshadow_avg_6M,vol_w_upshadow_std_1M,vol_w_upshadow_std_3M,vol_w_upshadow_std_6M
TS主连,2018-08-17,99.4,99.405,99.075,99.16,8559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-20,99.1,99.26,99.1,99.215,1865,0.0005546591367486808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-21,99.185,99.235,99.12,99.185,1339,-0.00030237363301921505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-22,99.235,99.29,99.19,99.2,1225,0.0001512325452437402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-23,99.28,99.28,99.225,99.275,819,0.0007560483870967527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-24,99.305,99.38,99.29,99.31,464,0.0003525560312263032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-27,99.27,99.3,99.205,99.27,671,-0.0004027791763165922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-28,99.215,99.315,99.185,99.275,574,5.0367684093943765e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-29,99.27,99.32,99.225,99.31,210,0.0003525560312263032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS主连,2018-08-30,99.335,99.435,99.3,99.365,533,0.0005538213674352033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
