symbol,date,open,high,low,close,volume
TL主连,2023-04-21,96.09,96.28,96.01,96.21,11587
TL主连,2023-04-24,96.28,96.41,96.26,96.37,4385
TL主连,2023-04-25,96.4,96.48,96.32,96.4,7308
TL主连,2023-04-26,96.44,96.51,96.38,96.43,5745
TL主连,2023-04-27,96.57,96.79,96.47,96.79,4479
TL主连,2023-04-28,96.79,96.79,96.55,96.64,4379
TL主连,2023-05-04,96.89,97.1,96.89,97.1,4220
TL主连,2023-05-05,97.16,97.57,97.13,97.45,5865
TL主连,2023-05-08,97.38,97.38,97.05,97.1,5165
TL主连,2023-05-09,97.15,97.23,97.08,97.17,5418
TL主连,2023-05-10,97.31,97.41,97.25,97.27,6545
TL主连,2023-05-11,97.51,97.69,97.4,97.45,4683
TL主连,2023-05-12,97.29,97.41,97.24,97.35,6230
TL主连,2023-05-15,97.26,97.4,97.12,97.23,3779
TL主连,2023-05-16,97.23,97.29,97.09,97.26,3187
TL主连,2023-05-17,97.29,97.35,97.11,97.21,1931
TL主连,2023-05-18,97.11,97.18,96.97,97.17,2078
TL主连,2023-05-19,96.83,97.0,96.79,96.97,5917
TL主连,2023-05-22,96.97,97.06,96.89,96.96,6401
TL主连,2023-05-23,97.01,97.24,97.01,97.15,5062
TL主连,2023-05-24,97.12,97.26,97.07,97.19,4825
TL主连,2023-05-25,97.16,97.18,96.96,97.04,6307
TL主连,2023-05-26,96.99,97.09,96.74,96.81,6532
TL主连,2023-05-29,96.71,96.99,96.7,96.99,6163
TL主连,2023-05-30,97.06,97.09,96.85,96.87,4583
TL主连,2023-05-31,96.92,97.06,96.86,97.06,5638
TL主连,2023-06-01,97.13,97.26,97.02,97.19,6550
TL主连,2023-06-02,97.13,97.16,96.63,96.7,7840
TL主连,2023-06-05,96.81,96.98,96.75,96.92,6881
TL主连,2023-06-06,96.97,97.08,96.9,97.07,5768
TL主连,2023-06-07,97.07,97.27,97.03,97.23,7788
TL主连,2023-06-08,97.22,97.22,97.08,97.15,7189
TL主连,2023-06-09,97.12,97.65,97.12,97.52,11007
TL主连,2023-06-12,97.56,97.74,97.53,97.62,7456
TL主连,2023-06-13,97.82,98.21,97.79,98.04,12246
TL主连,2023-06-14,98.44,98.51,98.18,98.33,12240
TL主连,2023-06-15,98.18,98.2,97.67,97.76,11949
TL主连,2023-06-16,97.64,97.71,97.13,97.38,16908
TL主连,2023-06-19,97.38,97.42,96.96,97.15,14627
TL主连,2023-06-20,97.22,97.43,97.21,97.36,10992
TL主连,2023-06-21,97.46,97.59,97.37,97.5,11569
TL主连,2023-06-26,97.6,97.75,97.55,97.7,11727
TL主连,2023-06-27,97.6,97.66,97.42,97.56,11122
TL主连,2023-06-28,97.64,97.79,97.6,97.78,10086
TL主连,2023-06-29,97.68,97.93,97.61,97.82,10206
TL主连,2023-06-30,97.94,98.11,97.82,98.1,10158
TL主连,2023-07-03,98.0,98.05,97.84,97.92,9074
TL主连,2023-07-04,97.9,98.13,97.36,97.71,12156
TL主连,2023-07-05,97.88,98.05,97.77,98.04,8216
TL主连,2023-07-06,98.03,98.12,97.88,97.97,12581
TL主连,2023-07-07,98.03,98.17,97.98,98.11,11898
TL主连,2023-07-10,98.09,98.29,97.94,98.28,12884
TL主连,2023-07-11,98.34,98.5,98.3,98.35,13144
TL主连,2023-07-12,98.36,98.49,98.27,98.49,13385
TL主连,2023-07-13,98.47,98.55,98.37,98.4,11866
TL主连,2023-07-14,98.36,98.53,98.22,98.37,16850
TL主连,2023-07-17,98.35,98.64,98.31,98.64,12033
TL主连,2023-07-18,98.68,98.89,98.64,98.79,12851
TL主连,2023-07-19,98.88,98.88,98.7,98.74,11397
TL主连,2023-07-20,98.69,98.92,98.57,98.86,11840
TL主连,2023-07-21,98.97,99.32,98.97,99.27,13430
TL主连,2023-07-24,99.4,99.59,99.29,99.54,10739
TL主连,2023-07-25,98.78,99.0,98.61,98.65,18773
TL主连,2023-07-26,98.72,99.15,98.68,99.1,16906
TL主连,2023-07-27,99.17,99.39,99.12,99.26,14930
TL主连,2023-07-28,99.31,99.4,98.98,99.1,15250
TL主连,2023-07-31,98.63,99.04,98.63,98.98,16026
TL主连,2023-08-01,99.06,99.24,99.01,99.05,13805
TL主连,2023-08-02,99.18,99.3,99.15,99.2,11064
TL主连,2023-08-03,99.25,99.43,99.25,99.37,12293
TL主连,2023-08-04,99.28,99.59,99.2,99.47,15606
TL主连,2023-08-07,99.48,99.55,99.41,99.54,10506
TL主连,2023-08-08,99.57,99.59,99.43,99.48,13186
TL主连,2023-08-09,99.5,99.55,99.45,99.53,11836
TL主连,2023-08-10,99.48,99.53,99.4,99.44,14297
TL主连,2023-08-11,99.48,99.62,99.45,99.55,12648
TL主连,2023-08-14,99.81,99.99,99.79,99.86,10105
TL主连,2023-08-15,100.2,100.83,100.2,100.56,12974
TL主连,2023-08-16,100.7,100.86,100.63,100.79,10286
TL主连,2023-08-17,100.77,100.79,100.48,100.49,13504
TL主连,2023-08-18,100.45,100.8,100.45,100.76,8140
TL主连,2023-08-21,100.6,101.37,100.59,101.16,21405
TL主连,2023-08-22,101.11,101.32,100.93,101.13,21256
TL主连,2023-08-23,101.05,101.25,101.05,101.22,15535
TL主连,2023-08-24,101.28,101.4,101.22,101.36,15335
TL主连,2023-08-25,101.36,101.47,101.01,101.11,19038
TL主连,2023-08-28,100.45,101.1,100.4,101.03,18682
TL主连,2023-08-29,101.09,101.09,100.63,100.78,21831
TL主连,2023-08-30,100.71,101.07,100.67,100.8,23723
TL主连,2023-08-31,100.88,101.0,100.74,100.87,19195
TL主连,2023-09-01,100.67,100.78,100.32,100.39,20826
TL主连,2023-09-04,99.93,100.07,99.61,99.77,28771
TL主连,2023-09-05,99.85,99.89,99.57,99.59,18877
TL主连,2023-09-06,99.68,99.76,99.2,99.23,22382
TL主连,2023-09-07,99.22,99.39,98.85,98.96,25589
TL主连,2023-09-08,99.17,99.34,98.81,99.23,21263
TL主连,2023-09-11,99.03,99.26,98.76,99.12,25897
TL主连,2023-09-12,99.3,99.52,99.1,99.14,23216
TL主连,2023-09-13,99.24,99.41,99.15,99.31,21066
TL主连,2023-09-14,99.31,99.93,99.26,99.84,24603
TL主连,2023-09-15,99.86,99.86,99.13,99.14,32445
TL主连,2023-09-18,98.94,99.04,98.66,98.93,28771
TL主连,2023-09-19,98.94,99.17,98.94,99.02,24607
TL主连,2023-09-20,98.94,99.06,98.87,98.94,19382
TL主连,2023-09-21,98.95,99.24,98.92,99.14,28104
TL主连,2023-09-22,99.12,99.2,98.52,98.55,26134
TL主连,2023-09-25,98.63,98.74,98.17,98.3,24364
TL主连,2023-09-26,98.3,98.39,98.01,98.33,18783
TL主连,2023-09-27,98.45,98.54,98.21,98.4,20128
TL主连,2023-09-28,98.44,98.9,98.38,98.82,23275
TL主连,2023-10-09,98.81,99.0,98.71,98.93,22006
TL主连,2023-10-10,98.8,98.87,98.68,98.77,15954
TL主连,2023-10-11,98.64,98.65,98.36,98.46,19427
TL主连,2023-10-12,98.23,98.57,98.21,98.52,18877
TL主连,2023-10-13,98.61,98.83,98.59,98.71,19394
TL主连,2023-10-16,98.88,98.95,98.7,98.88,17411
TL主连,2023-10-17,98.75,98.86,98.53,98.68,20299
TL主连,2023-10-18,98.62,98.77,98.47,98.51,18669
TL主连,2023-10-19,98.47,98.51,98.06,98.07,23503
TL主连,2023-10-20,98.08,98.54,97.88,98.43,29167
TL主连,2023-10-23,98.57,98.77,98.5,98.66,20476
TL主连,2023-10-24,98.52,98.62,98.07,98.33,27779
TL主连,2023-10-25,98.35,98.49,97.72,98.41,43500
TL主连,2023-10-26,98.37,98.45,98.27,98.31,20046
TL主连,2023-10-27,98.29,98.4,98.02,98.15,26007
TL主连,2023-10-30,98.19,98.43,98.14,98.22,19754
TL主连,2023-10-31,98.3,98.57,98.23,98.48,22884
TL主连,2023-11-01,98.52,98.69,98.44,98.56,22267
TL主连,2023-11-02,98.67,98.98,98.64,98.97,20206
TL主连,2023-11-03,98.9,98.98,98.72,98.94,20502
TL主连,2023-11-06,98.96,99.03,98.75,98.97,23796
TL主连,2023-11-07,99.05,99.12,98.85,98.91,18259
TL主连,2023-11-08,98.84,99.27,98.8,99.13,26862
TL主连,2023-11-09,99.19,99.34,99.11,99.12,31773
TL主连,2023-11-10,99.12,99.44,99.07,99.35,27801
TL主连,2023-11-13,99.33,99.62,99.3,99.5,25123
TL主连,2023-11-14,99.66,99.66,99.16,99.3,25382
TL主连,2023-11-15,99.18,99.43,99.13,99.37,32343
TL主连,2023-11-16,99.35,99.62,99.33,99.58,23901
TL主连,2023-11-17,99.5,99.78,99.37,99.73,31007
TL主连,2023-11-20,99.65,99.75,99.58,99.69,21727
TL主连,2023-11-21,99.66,99.77,99.56,99.6,22694
TL主连,2023-11-22,99.55,99.61,99.36,99.37,17898
TL主连,2023-11-23,99.12,99.12,98.77,98.78,24762
TL主连,2023-11-24,98.95,99.05,98.83,98.85,27258
TL主连,2023-11-27,98.88,98.88,98.65,98.66,25056
TL主连,2023-11-28,98.86,99.09,98.82,99.08,20502
TL主连,2023-11-29,99.01,99.39,98.95,99.28,23633
TL主连,2023-11-30,99.4,99.53,99.36,99.41,22260
TL主连,2023-12-01,99.39,99.46,99.24,99.4,21569
TL主连,2023-12-04,99.4,99.47,99.29,99.31,14671
TL主连,2023-12-05,99.28,99.62,99.22,99.52,23854
TL主连,2023-12-06,99.52,99.56,99.34,99.41,20654
TL主连,2023-12-07,99.41,99.56,99.24,99.48,18334
TL主连,2023-12-08,99.5,99.62,99.4,99.55,13884
TL主连,2023-12-11,99.72,100.03,99.71,99.81,15037
TL主连,2023-12-12,99.81,99.92,99.7,99.7,11310
TL主连,2023-12-13,99.9,100.36,99.9,100.26,17539
TL主连,2023-12-14,100.2,100.38,100.1,100.12,18329
TL主连,2023-12-15,100.13,100.61,100.05,100.6,21188
TL主连,2023-12-18,100.66,100.74,100.5,100.69,16610
TL主连,2023-12-19,100.62,100.87,100.57,100.77,16150
TL主连,2023-12-20,100.72,100.97,100.72,100.87,20125
TL主连,2023-12-21,100.86,101.36,100.81,101.31,23231
TL主连,2023-12-22,101.61,101.64,101.38,101.47,23074
TL主连,2023-12-25,101.53,102.3,101.49,102.19,23180
TL主连,2023-12-26,102.05,102.38,101.76,101.82,27724
TL主连,2023-12-27,102.01,102.19,101.56,101.84,23421
TL主连,2023-12-28,102.14,102.14,101.47,101.72,22954
TL主连,2023-12-29,101.75,101.85,101.46,101.68,21329
TL主连,2024-01-02,101.81,101.83,101.56,101.61,13807
TL主连,2024-01-03,101.53,101.64,101.24,101.63,22925
TL主连,2024-01-04,101.7,101.93,101.63,101.76,17729
TL主连,2024-01-05,101.97,102.31,101.9,102.16,26158
TL主连,2024-01-08,102.22,102.33,102.07,102.15,16096
TL主连,2024-01-09,102.42,102.82,102.35,102.8,27446
TL主连,2024-01-10,102.75,102.79,102.49,102.61,21712
TL主连,2024-01-11,102.36,102.7,102.2,102.52,25359
TL主连,2024-01-12,102.4,102.41,102.07,102.07,35398
TL主连,2024-01-15,101.85,102.41,101.7,102.32,25634
TL主连,2024-01-16,102.35,102.5,102.19,102.32,21515
TL主连,2024-01-17,102.2,102.64,102.2,102.61,19605
TL主连,2024-01-18,102.7,102.88,102.55,102.61,24689
TL主连,2024-01-19,102.7,103.02,102.68,102.97,20085
TL主连,2024-01-22,102.94,103.81,102.92,103.68,27248
TL主连,2024-01-23,103.68,103.75,103.36,103.56,29013
TL主连,2024-01-24,103.46,103.94,103.32,103.67,29657
TL主连,2024-01-25,103.4,103.79,103.15,103.55,32353
TL主连,2024-01-26,103.61,103.74,103.5,103.55,21687
TL主连,2024-01-29,103.5,103.87,103.4,103.79,24007
TL主连,2024-01-30,104.1,104.67,104.09,104.6,24843
TL主连,2024-01-31,105.39,105.45,104.98,105.43,34071
TL主连,2024-02-01,105.3,105.48,104.94,105.14,31562
TL主连,2024-02-02,105.11,105.27,105.02,105.14,21661
TL主连,2024-02-05,105.85,105.9,105.43,105.64,24690
TL主连,2024-02-06,105.54,105.58,104.65,104.65,31218
TL主连,2024-02-07,104.58,105.35,104.5,105.18,23675
TL主连,2024-02-08,105.12,105.45,104.58,104.79,17946
TL主连,2024-02-19,104.79,105.23,104.64,105.16,9735
TL主连,2024-02-20,105.22,105.39,105.07,105.33,23191
TL主连,2024-02-21,105.43,105.59,104.97,105.33,31052
TL主连,2024-02-22,105.28,105.54,105.13,105.54,23177
TL主连,2024-02-23,105.6,106.02,105.55,105.83,29772
TL主连,2024-02-26,105.82,106.33,105.68,106.33,27008
TL主连,2024-02-27,106.78,106.94,106.47,106.57,34223
TL主连,2024-02-28,106.7,106.91,106.28,106.91,32084
TL主连,2024-02-29,107.2,107.56,106.97,107.34,37394
TL主连,2024-03-01,107.0,107.07,106.0,106.15,49697
TL主连,2024-03-04,106.61,107.18,106.6,107.05,37416
TL主连,2024-03-05,106.85,107.08,106.4,106.66,43610
TL主连,2024-03-06,106.79,107.46,106.67,107.28,44121
TL主连,2024-03-07,107.88,108.09,106.75,107.19,58164
TL主连,2024-03-08,107.23,107.46,106.74,106.89,44093
TL主连,2024-03-11,106.84,107.08,106.16,106.24,44776
TL主连,2024-03-12,105.7,105.9,105.04,105.04,59262
TL主连,2024-03-13,104.95,105.83,104.5,105.7,77721
TL主连,2024-03-14,105.47,105.86,105.1,105.61,52902
TL主连,2024-03-15,105.4,106.2,105.4,105.94,48570
TL主连,2024-03-18,105.9,106.35,105.76,106.34,35697
TL主连,2024-03-19,106.66,107.13,106.28,107.03,46256
TL主连,2024-03-20,106.75,106.99,106.53,106.55,34844
TL主连,2024-03-21,106.2,106.59,105.92,106.39,48793
TL主连,2024-03-22,106.48,106.75,105.48,105.49,47569
TL主连,2024-03-25,105.74,105.92,105.17,105.54,50389
TL主连,2024-03-26,105.54,105.64,105.2,105.36,39562
TL主连,2024-03-27,105.45,105.9,105.28,105.82,38773
TL主连,2024-03-28,105.94,106.26,105.72,105.83,48412
TL主连,2024-03-29,105.7,106.64,105.59,106.61,46295
TL主连,2024-04-01,106.17,106.18,105.65,105.8,43377
TL主连,2024-04-02,106.0,106.16,105.83,106.05,33524
TL主连,2024-04-03,106.16,106.6,106.16,106.39,33276
TL主连,2024-04-08,106.3,106.9,106.26,106.64,34382
TL主连,2024-04-09,106.63,106.97,106.58,106.88,25377
TL主连,2024-04-10,106.4,106.74,106.27,106.44,32291
TL主连,2024-04-11,106.29,106.58,105.71,105.86,45626
TL主连,2024-04-12,106.16,106.47,106.03,106.17,42882
TL主连,2024-04-15,106.25,106.45,106.01,106.17,37206
TL主连,2024-04-16,106.17,106.6,106.05,106.6,33999
TL主连,2024-04-17,106.83,107.0,106.4,106.67,43884
TL主连,2024-04-18,106.7,107.45,106.7,107.43,46984
TL主连,2024-04-19,107.4,107.58,107.23,107.44,35887
TL主连,2024-04-22,107.68,107.95,107.64,107.82,28623
TL主连,2024-04-23,107.97,108.48,107.91,108.35,42623
TL主连,2024-04-24,107.8,107.8,107.06,107.1,52806
TL主连,2024-04-25,107.11,107.24,106.64,106.76,53157
TL主连,2024-04-26,106.82,106.97,106.14,106.26,46984
TL主连,2024-04-29,105.66,105.74,104.98,105.39,64461
TL主连,2024-04-30,105.9,106.22,105.73,106.2,37772
TL主连,2024-05-06,105.99,106.08,105.68,105.82,37552
TL主连,2024-05-07,105.86,106.36,105.86,106.23,37057
TL主连,2024-05-08,106.12,106.57,106.05,106.39,30262
TL主连,2024-05-09,106.18,106.35,105.74,105.85,32949
TL主连,2024-05-10,106.03,106.26,105.51,105.7,38463
TL主连,2024-05-13,106.05,106.6,105.98,106.43,38159
TL主连,2024-05-14,106.57,106.86,106.44,106.56,24845
TL主连,2024-05-15,106.64,106.73,106.26,106.43,21412
TL主连,2024-05-16,106.0,106.08,105.56,105.72,38296
TL主连,2024-05-17,105.4,105.83,105.02,105.42,53029
TL主连,2024-05-20,105.6,105.9,105.5,105.74,31234
