symbol,date,open,high,low,close,volume
T主连,2015/3/20,96.9,97.96,96.525,97.09,3332
T主连,2015/3/23,97.095,97.095,96.84,97.02,1386
T主连,2015/3/24,97.135,97.22,96.875,96.92,1380
T主连,2015/3/25,97.02,97.03,96.76,96.85,1234
T主连,2015/3/26,96.835,96.89,96.37,96.37,1073
T主连,2015/3/27,96.3,96.51,95.98,96.49,1792
T主连,2015/3/30,96.065,96.4,96,96.16,1153
T主连,2015/3/31,95.8,95.9,95.565,95.65,2327
T主连,2015/4/1,95.66,96.095,95.655,96.095,673
T主连,2015/4/2,96.3,96.425,96.2,96.32,1011
T主连,2015/4/3,96.315,96.375,96.005,96.01,1099
T主连,2015/4/7,96.005,96.31,95.8,95.93,831
T主连,2015/4/8,96,96.1,95.13,95.16,2904
T主连,2015/4/9,95.3,95.4,95.195,95.265,1389
T主连,2015/4/10,95.35,95.415,95.17,95.19,1073
T主连,2015/4/13,95.18,95.68,95.18,95.63,1895
T主连,2015/4/14,95.7,96,95.53,95.57,1718
T主连,2015/4/15,95.9,96.285,95.775,96.15,2148
T主连,2015/4/16,96.735,96.735,95.86,96.18,1436
T主连,2015/4/17,96.19,96.5,96.05,96.3,1613
T主连,2015/4/20,97.1,97.275,96.67,97.25,3213
T主连,2015/4/21,97.295,97.95,97.26,97.39,4962
T主连,2015/4/22,97.4,97.615,97.31,97.42,2962
T主连,2015/4/23,97.365,97.455,96.945,97.34,2288
T主连,2015/4/24,97.22,97.255,96.82,97.03,2110
T主连,2015/4/27,97.08,97.85,97.08,97.76,3257
T主连,2015/4/28,97.6,97.84,97.58,97.74,1621
T主连,2015/4/29,97.67,97.775,97.52,97.69,2235
T主连,2015/4/30,97.695,98.1,97.695,97.955,3925
T主连,2015/5/4,97.91,97.91,97.54,97.6,2688
T主连,2015/5/5,97.51,97.675,97.485,97.505,3812
T主连,2015/5/6,97.42,97.47,97.065,97.155,5874
T主连,2015/5/7,97.145,97.37,97.095,97.2,3897
T主连,2015/5/8,97.3,97.615,97.29,97.45,3756
T主连,2015/5/11,97.41,97.5,96.5,97.32,4854
T主连,2015/5/12,97.31,97.46,96.88,96.99,3199
T主连,2015/5/13,97.02,97.35,96.965,97.225,4272
T主连,2015/5/14,97.42,97.53,97.005,97.1,3794
T主连,2015/5/15,97.15,97.345,97.125,97.185,2400
T主连,2015/5/18,97.2,97.29,96.675,96.705,5051
T主连,2015/5/19,96.695,96.84,96.475,96.56,3680
T主连,2015/5/20,96.565,96.915,96.55,96.88,2667
T主连,2015/5/21,96.9,96.9,96.47,96.675,2358
T主连,2015/5/22,96.67,96.81,96.67,96.74,1866
T主连,2015/5/25,96.7,96.825,96.465,96.52,1849
T主连,2015/5/26,96.505,96.505,95.21,95.66,5483
T主连,2015/5/27,95.67,95.965,95.58,95.8,3064
